Sat Apr 20 20:40:10 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:10 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:10 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:10 2019 : writeAudio >> enter
Sat Apr 20 20:40:10 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:10 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:10 2019 : writeAudio >> enter
Sat Apr 20 20:40:10 2019 : writeAudio >> enter
Sat Apr 20 20:40:10 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:10 2019 : writeAudio >> enter
Sat Apr 20 20:40:10 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:10 2019 : writeAudio >> enter
Sat Apr 20 20:40:11 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:11 2019 : writeAudio >> enter
Sat Apr 20 20:40:11 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:11 2019 : writeAudio >> enter
Sat Apr 20 20:40:11 2019 : writeAudio >> enter
Sat Apr 20 20:40:11 2019 : writeAudio >> enter
Sat Apr 20 20:40:11 2019 : writeAudio >> enter
Sat Apr 20 20:40:11 2019 : writeAudio >> enter
Sat Apr 20 20:40:11 2019 : writeAudio >> enter
Sat Apr 20 20:40:12 2019 : writeAudio >> enter
Sat Apr 20 20:40:12 2019 : writeAudio >> enter
Sat Apr 20 20:40:12 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:12 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:12 2019 : writeAudio >> enter
Sat Apr 20 20:40:12 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:12 2019 : writeAudio >> enter
Sat Apr 20 20:40:12 2019 : writeAudio >> enter
Sat Apr 20 20:40:12 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:12 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:12 2019 : writeAudio >> enter
Sat Apr 20 20:40:12 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:12 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:12 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:12 2019 : writeAudio >> enter
